ID;Toma;RFID;Descripción;Código Error;Tiempo KO (min);Información;Solución;Autogestión;Revisado;Fecha
83532141;;;Charger not send heartbeats. IP => 166.210.64.43:58080;Heartbeat Error;;El cargador no ha enviado Heartbeat;Vuelva a comprobarlo en 15 minutos;;;09-04-2025, 00:24
83522813;;;Charger not send heartbeats. IP => 166.210.64.43:58080;Heartbeat Error;;El cargador no ha enviado Heartbeat;Vuelva a comprobarlo en 15 minutos;;;08-04-2025, 23:15
83043413;1;7B0734A0;25 - DC leakage sensor error - Charger Status: Faulted;25 - DC leakage sensor error - OtherError;;El sensor de fuga de DC está funcionando mal;Llama a la asistencia técnica;;;03-04-2025, 13:04
82937420;2;1BF4C9EC;25 - DC leakage sensor error - Charger Status: Faulted;25 - DC leakage sensor error - OtherError;;El sensor de fuga de DC está funcionando mal;Llama a la asistencia técnica;;;02-04-2025, 10:00
81994899;1;D45E7EAF;25 - DC leakage sensor error - Charger Status: Faulted;25 - DC leakage sensor error - OtherError;;El sensor de fuga de DC está funcionando mal;Llama a la asistencia técnica;;;19-03-2025, 11:16
81636903;1                 2;4210747D                 9E4D5697;33 - powermeter comm error - Charger Status: Faulted;33 - powermeter comm error - PowerMeterFailure;;Error de comunicación del medidor de potencia;Verifique la comunicación del medidor de potencia. Si el problema persiste, llame a la asistencia técnica.;;;13-03-2025, 13:01
79874209;1;C8FCAD98;25 - DC leakage sensor error - Charger Status: Faulted;25 - DC leakage sensor error - OtherError;;El sensor de fuga de DC está funcionando mal;Llama a la asistencia técnica;;;22-02-2025, 07:02
77310438;1                 2;D45E7EAF                 9D45BEFB;33 - powermeter comm error - Charger Status: Faulted;33 - powermeter comm error - PowerMeterFailure;;Error de comunicación del medidor de potencia;Verifique la comunicación del medidor de potencia. Si el problema persiste, llame a la asistencia técnica.;;;04-02-2025, 09:56
77305467;1                 2;D45E7EAF                 9D45BEFB;33 - powermeter comm error - Charger Status: Faulted;33 - powermeter comm error - PowerMeterFailure;;Error de comunicación del medidor de potencia;Verifique la comunicación del medidor de potencia. Si el problema persiste, llame a la asistencia técnica.;;;04-02-2025, 09:02
77299171;1                 2;D45E7EAF                 9D45BEFB;33 - powermeter comm error - Charger Status: Faulted;33 - powermeter comm error - PowerMeterFailure;;Error de comunicación del medidor de potencia;Verifique la comunicación del medidor de potencia. Si el problema persiste, llame a la asistencia técnica.;;;04-02-2025, 07:53
77149552;1                 2;7B0734A0                 17E7BA2C;33 - powermeter comm error - Charger Status: Faulted;33 - powermeter comm error - PowerMeterFailure;;Error de comunicación del medidor de potencia;Verifique la comunicación del medidor de potencia. Si el problema persiste, llame a la asistencia técnica.;;;03-02-2025, 05:52
76803342;;7B0734A0;Charger without communication;Connection Error;45;El cargador está sin conexión desde hace más de 60 minutos;Enviando email al administrador;;;31-01-2025, 17:35
76794095;1                 2;7B0734A0                 17E7BA2C;33 - powermeter comm error - Charger Status: Faulted;33 - powermeter comm error - PowerMeterFailure;;Error de comunicación del medidor de potencia;Verifique la comunicación del medidor de potencia. Si el problema persiste, llame a la asistencia técnica.;;;31-01-2025, 15:57
76354534;1;D7A39F47;25 - DC leakage sensor error - Charger Status: Faulted;25 - DC leakage sensor error - OtherError;;El sensor de fuga de DC está funcionando mal;Llama a la asistencia técnica;;;28-01-2025, 11:25
76239456;1                 2;A2D6FE57                 07C09540;33 - powermeter comm error - Charger Status: Faulted;33 - powermeter comm error - PowerMeterFailure;;Error de comunicación del medidor de potencia;Verifique la comunicación del medidor de potencia. Si el problema persiste, llame a la asistencia técnica.;;;27-01-2025, 15:43
76237326;;A2D6FE57;Charger without communication;Connection Error;45;El cargador está sin conexión desde hace más de 60 minutos;Enviando email al administrador;;;27-01-2025, 15:20
76202642;1;D45E7EAF;25 - DC leakage sensor error - Charger Status: Faulted;25 - DC leakage sensor error - OtherError;;El sensor de fuga de DC está funcionando mal;Llama a la asistencia técnica;;;27-01-2025, 08:53
74737139;1                 2;D7A39F47                 8063448D;33 - powermeter comm error - Charger Status: Faulted;33 - powermeter comm error - PowerMeterFailure;;Error de comunicación del medidor de potencia;Verifique la comunicación del medidor de potencia. Si el problema persiste, llame a la asistencia técnica.;;;15-01-2025, 12:17
74719932;;D7A39F47;Charger without communication;Connection Error;45;El cargador está sin conexión desde hace más de 60 minutos;Enviando email al administrador;;;15-01-2025, 08:26
71141311;1;D45E7EAF;25 - DC leakage sensor error - Charger Status: Faulted;25 - DC leakage sensor error - OtherError;;El sensor de fuga de DC está funcionando mal;Llama a la asistencia técnica;;;16-12-2024, 07:39
70572794;;B46415CD;Charger without communication;Connection Error;45;El cargador está sin conexión desde hace más de 60 minutos;Enviando email al administrador;;;11-12-2024, 18:32
70549495;;;Charger not send heartbeats. IP => 166.210.64.43:58080;Heartbeat Error;;El cargador no ha enviado Heartbeat;Vuelva a comprobarlo en 15 minutos;;;11-12-2024, 15:46
70538668;;;Charger not send heartbeats. IP => 166.210.64.43:58080;Heartbeat Error;;El cargador no ha enviado Heartbeat;Vuelva a comprobarlo en 15 minutos;;;11-12-2024, 14:32
69683032;1                 2;81407EED                 8063448D;33 - powermeter comm error - Charger Status: Faulted;33 - powermeter comm error - PowerMeterFailure;;Error de comunicación del medidor de potencia;Verifique la comunicación del medidor de potencia. Si el problema persiste, llame a la asistencia técnica.;;;05-12-2024, 06:52
69602120;;B46415CD;Charger without communication;Connection Error;45;El cargador está sin conexión desde hace más de 60 minutos;Enviando email al administrador;;;04-12-2024, 17:01
63322127;2;4210747D;33 - powermeter comm error - Charger Status: Faulted;33 - powermeter comm error - PowerMeterFailure;;Error de comunicación del medidor de potencia;Verifique la comunicación del medidor de potencia. Si el problema persiste, llame a la asistencia técnica.;;;03-10-2024, 18:53
63321203;2;4210747D;33 - powermeter comm error - Charger Status: Faulted;33 - powermeter comm error - PowerMeterFailure;;Error de comunicación del medidor de potencia;Verifique la comunicación del medidor de potencia. Si el problema persiste, llame a la asistencia técnica.;;;03-10-2024, 18:39
62778534;1                 2;04611652CA5E80                 963F779B;33 - powermeter comm error - Charger Status: Faulted;33 - powermeter comm error - PowerMeterFailure;;Error de comunicación del medidor de potencia;Verifique la comunicación del medidor de potencia. Si el problema persiste, llame a la asistencia técnica.;;;27-09-2024, 14:38
62762330;1                 2;0471488A317780                 4210747D;33 - powermeter comm error - Charger Status: Faulted;33 - powermeter comm error - PowerMeterFailure;;Error de comunicación del medidor de potencia;Verifique la comunicación del medidor de potencia. Si el problema persiste, llame a la asistencia técnica.;;;27-09-2024, 10:00
