ID;Minuto a minuto;Toma;USER ID;Tarjeta;Inicio;Final;Duración(mins);Tiempo seleccionado(mins);Energía(kWh);Energía seleccionada(kWh);Modo;costo;Total(€);Token de pago;Ref Ext 1;Ref Ext 2
4971580;4971580;2;1131724;1EB318F9;30/4/2025 16:54;30/4/2025 17:10;16;;0;;CARD;;0;1000097552;;
4970680;4970680;1;1131724;1EB318F9;30/4/2025 12:39;30/4/2025 16:40;241;;6.73;10;APP;;8754.2;---;---;---
4970627;4970627;2;1149591;07C09540;30/4/2025 12:31;30/4/2025 16:31;240;;24.44;40;APP;;31770.7;---;---;---
4969805;4969805;1;1131634;D45E7EAF;30/4/2025 10:18;30/4/2025 11:42;84;;6.94;20;APP;;9015.5;---;---;---
4969233;4969233;2;1265951;73ECE76B;30/4/2025 08:27;30/4/2025 11:27;180;180;9.36;;APP;;12164.1;---;---;---
4968525;4968525;1;1131634;D45E7EAF;30/4/2025 06:11;30/4/2025 10:11;240;;22.87;40;APP;;29732.3;---;---;---
4965374;4965374;1;958228;4210747D;29/4/2025 13:37;29/4/2025 16:52;195;;16.51;;OTHER;;21459.1;---;;
4965024;4965024;2;1156412;81407EED;29/4/2025 12:32;29/4/2025 16:21;228;240;18.61;;APP;;24644.13;---;---;---
4964025;4964025;1;1135002;9D45BEFB;29/4/2025 09:37;29/4/2025 12:02;144;;8.34;60;APP;;10843.3;---;---;---
4963399;4963399;2;1156412;81407EED;29/4/2025 07:43;29/4/2025 11:43;240;240;22.29;;APP;;28970.5;---;---;---
4962797;4962797;1;1135002;9D45BEFB;29/4/2025 05:54;29/4/2025 09:36;222;;20.03;60;APP;;26041.6;---;---;---
4960418;4960418;2;1144127;D7A39F47;28/4/2025 19:07;28/4/2025 19:41;34;60;3.62;40;APP;;4709.9;---;---;---
4960304;4960304;2;1144127;D7A39F47;28/4/2025 16:35;28/4/2025 19:06;151;240;16.11;60;APP;;20948.2;---;---;---
4960099;4960099;2;1203942;72E15376;28/4/2025 14:35;28/4/2025 16:29;114;240;6.49;;APP;;8431.8;---;---;---
4959750;4959750;1;1149591;07C09540;28/4/2025 12:24;28/4/2025 16:24;240;;22.53;40;APP;;29647;---;---;---
4959658;4959658;2;1203942;72E15376;28/4/2025 12:01;28/4/2025 14:35;153;240;11.87;;APP;;15431;---;---;---
4959540;4959540;1;1143205;A2D6FE57;28/4/2025 11:21;28/4/2025 12:13;51;;5.02;5;APP;;6519.5;---;---;---
4958921;4958921;2;1270208;9230F578;28/4/2025 07:43;28/4/2025 11:43;240;240;12.68;;APP;;16482.7;---;---;---
4958855;4958855;1;1143205;A2D6FE57;28/4/2025 07:19;28/4/2025 11:20;240;;24.84;40;APP;;32295.9;---;---;---
4958835;4958835;1;1143205;A2D6FE57;28/4/2025 07:14;28/4/2025 07:17;3;;0;60;APP;;0;---;;
4950989;4950989;1;1128224;C8FCAD98;26/4/2025 10:43;26/4/2025 11:31;47;;5.07;5;APP;;6588.4;---;---;---
4947926;4947926;1;1134737;1BF4C9EC;25/4/2025 16:08;25/4/2025 17:17;69;;7.29;20;APP;;9475.7;---;---;---
4947578;4947578;2;1131493;47B77ECB;25/4/2025 14:20;25/4/2025 17:29;189;240;19.98;;APP;;25970.1;---;---;---
4946814;4946814;1;1134737;1BF4C9EC;25/4/2025 12:04;25/4/2025 16:05;241;;19.56;100;APP;;25429.3;---;---;---
4946768;4946768;2;1131493;47B77ECB;25/4/2025 11:57;25/4/2025 14:20;143;240;11.68;;APP;;15186.6;---;---;---
4946762;4946762;1;1140395;17E7BA2C;25/4/2025 11:56;25/4/2025 12:01;5;;0.45;;CARD;;0;1000093885;;
4946428;4946428;2;1131634;D45E7EAF;25/4/2025 11:02;25/4/2025 11:50;48;;3.85;10;APP;;5003.7;---;---;---
4946144;4946144;2;1131634;D45E7EAF;25/4/2025 10:16;25/4/2025 10:52;36;;2.88;20;APP;;3746.6;---;---;---
4946113;4946113;1;1140395;17E7BA2C;25/4/2025 10:09;25/4/2025 11:55;105;105;8.84;;APP;;11490.7;---;---;---
4946044;4946044;1;1140395;17E7BA2C;25/4/2025 09:58;25/4/2025 10:09;11;;0.75;;CARD;;2000;1000093787;---;---
4944796;4944796;2;1131634;D45E7EAF;25/4/2025 06:09;25/4/2025 10:10;240;;20.45;40;APP;;26587.6;---;---;---
4944735;4944735;1;1140395;17E7BA2C;25/4/2025 05:56;25/4/2025 09:57;240;;18.54;60;APP;;24102;---;---;---
4942313;4942313;2;1133277;62AAF420;24/4/2025 16:23;24/4/2025 17:45;81;;8.23;15;APP;;10695.1;---;---;---
4941750;4941750;2;1135002;9D45BEFB;24/4/2025 13:21;24/4/2025 16:06;165;;9.06;60;APP;;11783.2;---;---;---
4941719;4941719;1;1149591;07C09540;24/4/2025 13:13;24/4/2025 16:35;201;;21.03;40;APP;;27341.6;---;---;---
4941367;4941367;1;1149591;07C09540;24/4/2025 12:09;24/4/2025 13:12;62;;5.21;40;APP;;6771.7;---;---;---
4941104;4941104;1;958228;9E4D5697;24/4/2025 11:26;24/4/2025 11:50;23;60;1.89;;APP;;2458.3;---;---;---
4940633;4940633;2;1135002;9D45BEFB;24/4/2025 09:59;24/4/2025 13:19;200;;17.8;40;APP;;23141.3;---;---;---
4940098;4940098;1;1298974;18E13445;24/4/2025 08:14;24/4/2025 10:15;120;120;10.06;;APP;;13535.77;---;---;---
4939499;4939499;2;1135002;9D45BEFB;24/4/2025 06:17;24/4/2025 09:58;220;;20.05;40;APP;;26062.4;---;---;---
4937162;4937162;1;1287983;C81CD4D1;23/4/2025 17:19;23/4/2025 17:43;24;60;2.58;;APP;;3354;---;---;---
4937091;4937091;1;1287983;C81CD4D1;23/4/2025 16:09;23/4/2025 17:18;68;120;4.75;;APP;;6169.8;---;---;---
4936537;4936537;2;1133277;62AAF420;23/4/2025 13:11;23/4/2025 15:38;147;;7.97;15;APP;;10363.6;---;---;---
4936129;4936129;1;1287983;C81CD4D1;23/4/2025 11:51;23/4/2025 15:51;240;240;24.93;;APP;;32405.1;---;---;---
4934697;4934697;1;1265951;73ECE76B;23/4/2025 07:27;23/4/2025 09:28;120;120;5.97;;APP;;7759.7;---;---;---
4934368;4934368;2;1128224;C8FCAD98;23/4/2025 06:25;23/4/2025 10:26;241;;19.71;20;APP;;25625.6;---;---;---
4931993;4931993;1;958222;D6FF153E;22/4/2025 16:47;22/4/2025 16:53;6;;0.63;15;APP;;813.8;---;---;---
4931946;4931946;1;958222;D6FF153E;22/4/2025 16:14;22/4/2025 16:44;29;;3.03;20;APP;;3933.8;---;---;---
4931888;4931888;1;958222;D6FF153E;22/4/2025 15:45;22/4/2025 16:06;20;;2.06;20;APP;;2675.4;---;---;---
4931443;4931443;2;1131724;1EB318F9;22/4/2025 13:31;22/4/2025 17:31;240;;7.15;10;APP;;9292.4;---;---;---
4930521;4930521;2;958228;4210747D;22/4/2025 10:38;22/4/2025 12:55;136;;10.07;;OTHER;;13088.4;---;;
4930054;4930054;1;1203942;72E15376;22/4/2025 09:02;22/4/2025 11:50;167;240;15.67;;APP;;20367.1;---;---;---
4928991;4928991;2;1131634;D45E7EAF;22/4/2025 06:03;22/4/2025 10:04;241;;20.53;40;APP;;26692.9;---;---;---
